model,mode,sensitivity,specificity,auc,accuracy,precision_res,recall_res,f1_res,threshold,n_samples,n_test,n_train,dataset,ablation,dropped_cols
logistic,cv,0.8963276836158192,0.7466666666666668,0.8729535467671061,0.8753623188405797,0.9575517578064268,0.8963276836158192,0.9247386693236497,0.614,345,,,Combined,drop_LLR_Rosetta,16
rf,holdout,0.933,0.556,0.859,0.884,0.933,0.933,0.933,0.722,345,69.0,276.0,Combined,drop_LLR_Rosetta,16
rf,cv,0.9531638418079096,0.5955555555555556,0.8299560577526679,0.9043478260869564,0.937349980729414,0.9531638418079096,0.9450087153137913,0.652,345,,,Combined,drop_LLR_Rosetta,16
logistic,holdout,0.808,0.5,0.705,0.75,0.875,0.808,0.84,0.45,159,32.0,127.0,Essential,drop_LLR_Rosetta_Proximity,17
logistic,cv,0.34923076923076923,0.5476190476190477,0.532904761904762,0.38891129032258065,0.8074999999999999,0.34923076923076923,0.4515901589072321,0.558,159,,,Essential,drop_LLR_Rosetta_Proximity,17
rf,holdout,0.346,0.833,0.673,0.438,0.9,0.346,0.5,0.926,159,32.0,127.0,Essential,drop_LLR_Rosetta_Proximity,17
rf,cv,0.4064615384615385,0.48571428571428577,0.5256703296703297,0.4219758064516129,0.7765309200603319,0.4064615384615385,0.5298313314592384,0.633,159,,,Essential,drop_LLR_Rosetta_Proximity,17
logistic,holdout,0.371,1.0,0.624,0.421,1.0,0.371,0.542,0.647,186,38.0,148.0,Nonessential,drop_LLR_Rosetta_Proximity,17
logistic,cv,0.6235294117647059,0.45,0.6181372549019608,0.6079658605974396,0.9245019348467624,0.6235294117647059,0.7386580086580088,0.472,186,,,Nonessential,drop_LLR_Rosetta_Proximity,17
rf,holdout,0.629,0.333,0.562,0.605,0.917,0.629,0.746,0.824,186,38.0,148.0,Nonessential,drop_LLR_Rosetta_Proximity,17
rf,cv,0.5058823529411764,0.3833333333333333,0.4909313725490196,0.49459459459459465,0.8936507936507937,0.5058823529411764,0.6318528944992458,0.688,186,,,Nonessential,drop_LLR_Rosetta_Proximity,17
logistic,holdout,0.8,0.333,0.556,0.739,0.889,0.8,0.842,0.465,345,69.0,276.0,Combined,drop_LLR_Rosetta_Proximity,17
